# NOAA Paleoclimatology Program - Paleocean Site Data
# odp704a_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             David A. Hodell
# Core/Site:      ODP704A
# Latitude:       46.53.00S	( -46.88334)
# Longitude:      7.25.00E	( 7.41667)
# Water Depth(m): 2532
#
# Publications:
#   Hodell, D.A., C. Charles, and U. Ninnemann. 2000. Comparison of interglacial
#     stages in the South Atlantic sector of the southern ocean for the past 450 kyr:
#     implications for Marine Isotope Stage(MIS) 11. Global and Planetary
#     Change 24:7-26.
#------------------
#
# Description & Notes:
#   South Atlantic Foraminifer Stable Isotope Data, Marine Isotope Stage 11.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cn.pachy   delta C13 PDB (Neogloboquadrina pachyderma)
#             d18On.pachy   delta O18 PDB (Neogloboquadrina pachyderma)
#
# CORE: ODP704A
depth         yrBP          d13Cn.pachy   d18On.pachy   
-999           559930        0.71          3.09         
-999           561800        0.7           2.99         
-999           563670        0.72          2.94         
-999           565540        0.77          2.96         
-999           567410        0.77          3.08         
-999           569280        0.79          3.09         
-999           571150        0.7           3.1          
-999           573020        0.85          3.04         
-999           574890        0.74          2.99         
-999           576750        0.81          2.95         
-999           578620        0.86          3.09         
-999           580490        0.89          3.13         
-999           582360        0.78          3.05         
-999           584230        0.86          3.12         
-999           586100        0.83          3.14         
-999           587970        0.79          3.08         
-999           589840        0.82          3.04         
-999           591700        0.88          3.08         
-999           593570        0.79          3.12         
-999           595440        0.84          3.14         
-999           597310        0.79          3.17         
-999           599180        0.82          3.17         
-999           601050        0.84          3.18         
-999           601520        0.75          3.04         
-999           602920        0.76          3.03         
-999           604790        0.76          3.16         
-999           606660        0.85          2.97         
-999           608520        0.61          3.11         
-999           610390        0.75          2.96         
-999           612260        0.89          3.02         
-999           614130        0.78          2.94         
-999           616000        0.67          2.9          
-999           616920        0.45          3.13         
-999           617850        0.45          2.99         
-999           618770        0.26          3.16         
-999           619690        0.23          3.35         
-999           620620        0.16          3.39         
-999           621540        0.09          3.32         
-999           622460        0.07          3.47         
-999           623380        0.13          3.78         
-999           624310        0.11          3.81         
-999           625230       -0.01          4            
-999           626150        0.09          4.17         
-999           627080        0.02          4.01         
-999           628000        0.08          4.3          
-999           628920       -0.03          4.15         
-999           629850       -0.03          4.09         
-999           630770        0.03          4.02         
-999           631690        0.06          4.02         
-999           632620        0.3           3.27         
-999           633540        0.37          3.44         
-999           634460        0.58          3.25         
-999           635380        0.18          3.77         
-999           636310        0.27          3.55         
-999           637230        0.13          3.7          
-999           638150       -0.07          3.81         
-999           639080       -0.01          3.83         
-999           640000       -0.09          3.84         
-999           640920       -0.09          3.88         
-999           641850       -0.19          3.78         
-999           642770       -0.09          3.8          
-999           643230       -0.07          3.84         
-999           644150       -0.27          3.76         
-999           645080       -0.12          3.74         
-999           646000       -0.34          3.74         
-999           646920       -0.12          3.89         
-999           647850       -0.28          3.86         
-999           648770       -0.17          3.96         
-999           649690       -0.21          3.82         
-999           650620       -0.12          3.83         
-999           651540       -0.17          3.74         
-999           652460       -0.18          3.65         
-999           653380        0.04          3.59         
-999           654310       -0.11          3.71         
-999           654770        0.17          3.8          
-999           655690        0.22          3.89         
-999           656620        0.23          3.72         
-999           657540        0.24          3.75         
-999           658460        0.27          3.76         
-999           659380        0.26          3.81         
-999           660310        0.19          3.76         
-999           661230        0.22          3.74         
-999           662150        0.22          3.77         
-999           663080        0.24          3.77         
