hole	core	sect	interv	MCD	age (kyrs)	cib 18O	cib 13C	bull 18O	 bull 13C 	%CaCO3	%IRD
982B	2	4	117-119	12.49	484.82	2.88	1.31	2.43	0.35	86.50	0.0000
982B	2	4	122-124	12.54	486.41	2.90	1.10	2.27	0.06	85.58	0.0000
982B	2	4	127-129	12.59	487.99			1.59	0.35	81.00	0.2041
982B	2	4	132-134	12.64	489.57			2.33	-0.03	81.75	1.2422
982B	2	4	137-139	12.69	491.15	2.89	1.15	2.37	-0.18	77.00	0.6250
982B	2	4	142-144	12.74	492.73	2.89	1.10	2.25	-0.21	75.92	2.2523
982B	2	4	147-149	12.79	494.31	3.08	1.16	2.43	-0.14	80.67	2.2965
982B	2	5	 2-4	12.84	495.89	3.31	1.48	2.63	0.07	86.75	0.0000
982B	2	5	 7-9	12.89	497.47	3.26	1.37	2.60	0.37	89.33	0.0000
982B	2	5	 12-14	12.94	499.05			2.88	0.42	91.67	0.0000
982B	2	5	17-19	12.99	500.64			2.80	0.21	90.92	0.0000
982B	2	5	22-24	13.04	502.22	3.46	0.99	2.68	0.15	79.58	4.9774
982B	2	5	27-29	13.09	503.8	3.22	1.21	2.78	0.47	74.58	0.0000
982B	2	5	32-34	13.14	505.38	3.17	1.28	2.64	0.18	92.17	0.0000
982B	2	5	37-39	13.19	506.96	3.22	1.34	2.84	0.37	84.67	0.0000
982B	2	5	42-44	13.24	508.54	3.10	1.18	2.67	0.16	91.58	0.0000
982B	2	5	47-49	13.29	510.12	3.14	1.18	2.49	-0.08	92.17	0.0000
982B	2	5	52-54	13.34	511.7	3.07	1.20	2.54	0.21	89.33	0.2075
982B	2	5	57-59	13.39	513.28	3.00	1.20	2.58	0.04	88.33	0.0000
982B	2	5	62-64	13.44	514.86			2.73	0.21	88.33	0.0000
982B	2	5	67-69	13.49	516.45	2.99	1.20	2.35	-0.24	73.08	0.4158
982B	2	5	72-74	13.54	518.03			2.36	-0.09	92.08	0.0000
982B	2	5	77-79	13.59	519.61			2.32	-0.14	91.83	0.0000
982B	2	5	82-84	13.64	521.19			2.42	-0.21	91.17	0.0000
982B	2	5	87-89	13.69	522.77			2.43	-0.06	86.58	1.2658
