mcd	c13	o18 (o/oo PDB)	species
71,334	0,39	2,97	C. wuellerstorfi
71,43	0,02	2,93	C. kullenbergi
71,53	0,87	2,85	C. kullenbergi
71,63	1,26	3,88	C. kullenbergi
71,73	0,89	2,89	C. kullenbergi
71,83	0,60	2,69	C. kullenbergi
71,93	0,68	3,48	C. kullenbergi
72,03	0,52	3,63	C. wuellerstorfi
72,13	0,72	3,23	C. kullenbergi
72,23	0,81	3,26	C. kullenbergi
72,33	0,83	3,15	C. kullenbergi
72,43	0,86	3,14	C. wuellerstorfi
72,53	0,92	3,07	C. kullenbergi
72,63	0,90	2,91	C. kullenbergi
72,73	0,81	3,05	C. kullenbergi
72,83	0,82	3,30	C. kullenbergi
72,93	0,93	2,92	C. kullenbergi
73,03	1,11	3,00	C. kullenbergi
73,13	1,04	2,90	C. kullenbergi
73,23	1,06	2,78	C. kullenbergi
73,33	1,05	2,78	C. kullenbergi
73,43	1,00	2,84	C. kullenbergi
73,93	0,86	2,59	C. wuellerstorfi
74,03	0,76	2,75	C. kullenbergi
74,13	0,56	3,09	C. kullenbergi
74,53	0,58	3,78	C. wuellerstorfi
74,63	0,45	3,20	C. kullenbergi
74,73	0,18	3,15	Cibicidoides spp.
74,93	0,77	3,32	C. wuellerstorfi
75,03	0,26	2,61	C. wuellerstorfi
75,13	1,05	3,12	C. wuellerstorfi
75,23	0,22	3,07	C. wuellerstorfi
75,33	0,94	2,90	Cibicidoides spp.
75,43	0,85	2,88	Cibicidoides spp.
75,53	0,84	2,74	Cibicidoides spp.
75,63	0,08	3,07	C. wuellerstorfi
75,73	0,86	2,79	Cibicidoides spp.
75,83	0,33	3,28	C. wuellerstorfi
75,93	0,70	3,07	C. wuellerstorfi
76,03	0,66	3,83	C. kullenbergi
76,13	0,64	3,39	Cibicidoides spp.
76,23	0,42	3,35	Cibicidoides spp.
