ODP 927        
         
5¡27.7N 44¡28.8W 3326m       
         
Ceara Rise        
         
data Torsten Bickert (Uni Bremen)     
Bickert et al. (1997) Ocean Drill. Program Sci. Results. 154.
Site Hole Core Sect Type  top mcd d18O d13C species
927 C 3 H 4 75 27.27 3.31 1.04 C.wuellerstorfi
927 C 3 H 4 85 27.37 2.90 1.00 C.wuellerstorfi
927 C 3 H 4 105 27.57 3.17 0.83 C.wuellerstorfi
927 C 3 H 4 115 27.67 2.73 0.89 C.wuellerstorfi
927 C 3 H 4 115 27.67 2.67 1.07 C.wuellerstorfi
927 C 3 H 4 125 27.77 2.75 0.89 C.wuellerstorfi
927 C 3 H 4 135 27.87 2.56 1.02 C.wuellerstorfi
927 C 3 H 4 145 27.97 2.96 0.88 C.wuellerstorfi
927 C 3 H 5 5 28.07 3.24 0.12 C.wuellerstorfi
927 C 3 H 5 5 28.07 2.94 0.80 C.wuellerstorfi
927 C 3 H 5 15 28.17 4.14 0.23 C.wuellerstorfi
927 C 3 H 5 25 28.27 4.17 -0.04 C.wuellerstorfi
927 C 3 H 5 35 28.37 4.44 -0.15 C.wuellerstorfi
927 C 3 H 5 45 28.47 4.16 0.34 C.wuellerstorfi
927 C 3 H 5 55 28.57 4.22 0.10 C.wuellerstorfi
927 C 3 H 5 65 28.67 4.24 0.26 C.wuellerstorfi
927 C 3 H 5 75 28.77 4.14 0.14 C.wuellerstorfi
927 C 3 H 5 85 28.87 4.07 -0.30 C.wuellerstorfi
927 C 3 H 5 95 28.97 4.12 0.19 C.wuellerstorfi
927 C 3 H 5 105 29.07 3.92 0.38 C.wuellerstorfi
927 C 3 H 5 105 29.07 3.83 0.47 C.wuellerstorfi
927 C 3 H 5 115 29.17 3.90 0.08 C.wuellerstorfi
927 C 3 H 5 124 29.26 3.86 0.02 C.wuellerstorfi
927 C 3 H 5 135 29.37 3.91 0.20 C.spp.
927 C 3 H 5 145 29.47 3.79 -0.06 C.wuellerstorfi
927 C 3 H 6 5 29.57 4.00 0.08 C.wuellerstorfi
927 C 3 H 6 15 29.67 3.77 0.20 C.wuellerstorfi
927 C 3 H 6 35 29.87 3.82 0.17 C.wuellerstorfi
927 C 3 H 6 35 29.87 3.87 0.27 C.wuellerstorfi
927 C 3 H 6 45 29.97 3.76 0.10 C.wuellerstorfi
927 C 3 H 6 55 30.07 3.66 -0.07 C.wuellerstorfi
927 C 3 H 6 75 30.27 3.69 0.33 C.wuellerstorfi
927 C 3 H 6 75 30.27 3.65 -0.04 C.wuellerstorfi
927 C 3 H 6 85 30.37 3.34 0.58 C.wuellerstorfi
927 C 3 H 6 95 30.47 3.29 0.74 C.spp.
927 C 3 H 6 115 30.67 3.28 0.73 C.wuellerstorfi
927 C 3 H 6 125 30.77 3.02 0.36 C.wuellerstorfi
927 C 3 H 6 125 30.77 2.66 1.02 C.wuellerstorfi
927 C 3 H 6 135 30.87 2.63 1.00 C.wuellerstorfi
927 B 4 H 4 146 31.67 3.51 -0.37 C.wuellerstorfi
927 B 4 H 5 6 31.77 3.83 -0.39 C.wuellerstorfi
927 B 4 H 5 16 31.87 3.83 -0.20 C.wuellerstorfi
927 B 4 H 5 26 31.97 3.81 0.09 C.wuellerstorfi
927 B 4 H 5 36 32.07 3.69 0.21 C.wuellerstorfi
927 B 4 H 5 36 32.07 3.57 0.75 C.wuellerstorfi
927 B 4 H 5 46 32.17 3.63 0.78 C.wuellerstorfi
927 B 4 H 5 56 32.27 3.43 0.80 C.wuellerstorfi
927 B 4 H 5 66 32.37 3.31 0.83 C.wuellerstorfi
927 B 4 H 5 66 32.37 3.27 1.05 C.wuellerstorfi
927 B 4 H 5 76 32.47 3.34 0.78 C.wuellerstorfi
927 B 4 H 5 86 32.57 3.31 0.85 C.wuellerstorfi
927 B 4 H 5 96 32.67 3.33 0.88 C.wuellerstorfi
927 B 4 H 5 116 32.87 3.41 0.71 C.wuellerstorfi
927 B 4 H 5 126 32.97 3.23 0.50 C.wuellerstorfi
927 B 4 H 5 136 33.07 3.92 -0.24 C.wuellerstorfi
927 B 4 H 5 146 33.17 3.78 -0.25 C.wuellerstorfi
927 B 4 H 6 26 33.47 3.72 -0.08 C.wuellerstorfi
927 B 4 H 6 66 33.87 3.31 -0.14 C.wuellerstorfi
927 B 4 H 6 86 34.07 3.25 0.58 C.wuellerstorfi
