Depth (mcd)	Age (ka)	Cw d13C	Cw d18O
67.15	525.12	0.95	4.08
67.20	525.74	0.79	4.10
67.25	526.35	0.80	3.89
67.30	526.97	0.71	3.82
67.35	527.59	0.92	4.09
67.40	528.21	0.93	4.44
67.45	528.83	0.84	3.88
67.50	529.44	0.78	3.56
67.55	530.06	0.60	4.09
67.60	530.68	0.50	4.06
67.65	531.30	0.83	3.81
67.70	531.91	0.94	4.23
67.75	532.53	0.83	4.13
67.80	533.15	0.89	4.05
67.85	533.77	0.58	3.94
67.90	534.38	0.76	4.00
67.95	535.00	0.78	4.13
68.05	536.24	0.90	3.80
68.10	536.86	0.57	3.96
68.15	537.47	0.73	4.12
68.20	538.09	1.20	3.49
68.25	538.71	0.28	3.85
68.30	539.33	0.47	4.08
68.35	539.94	0.49	4.03
68.40	540.56	0.17	3.50
68.50	541.80	0.66	3.78
68.55	542.42	0.44	3.85
68.60	543.03	0.51	3.65
68.65	543.65	0.20	3.79
68.70	544.27	0.67	3.76
68.75	544.89	0.44	3.73
68.85	546.12	0.35	3.81
68.88	546.49	0.64	3.85
68.93	547.11	0.93	3.63
68.98	547.73	0.93	3.90
69.03	548.35	0.76	3.65
69.08	548.96	0.77	3.76
69.13	549.58	0.81	3.36
69.18	550.20	0.92	3.55
69.23	550.82	0.55	3.56
69.28	551.43	0.70	3.69
69.32	551.93	0.87	3.56
69.38	552.67	0.43	3.57
69.43	553.29	0.33	3.31
69.48	553.91	1.06	3.78
69.53	554.52	0.68	3.67
69.58	555.14	0.83	3.55
69.68	556.38	0.79	3.43
69.83	558.23	0.51	3.13
69.88	558.85	0.45	3.17
69.93	559.46	0.90	3.38
69.98	560.08	0.70	3.33
70.03	560.70	0.76	3.51
70.08	561.32	0.83	3.56
70.13	561.94	0.99	3.46
70.18	562.55	0.62	3.42
70.23	563.17	0.83	3.43
70.28	563.79	0.55	2.96
70.33	564.41	0.74	2.82
70.38	565.02	0.94	3.30
70.43	565.64	1.01	3.02
70.53	566.88	0.98	2.82
70.58	567.50	1.08	2.92
70.63	568.11	1.04	2.93
70.68	568.73	1.02	3.05
70.73	569.35	0.66	2.82
70.78	569.97	0.84	2.94
70.82	570.46	0.96	2.96
70.88	571.20	0.46	2.99
70.93	571.82	0.72	2.66
70.98	572.44	0.18	2.96
71.03	573.05	0.20	3.28
71.08	573.67	0.10	3.09
71.13	574.29	0.47	3.41
71.18	574.96	0.32	4.07
71.23	575.63	0.63	4.11
71.28	576.30	0.58	4.16
71.33	576.97	0.59	4.01
71.38	577.64	0.40	4.11
71.43	578.31	0.88	3.99
71.48	578.98	0.69	3.87
71.53	579.65	0.97	3.76
71.63	581.00	0.33	3.36
71.68	581.67	0.71	3.57
71.73	582.34	0.52	3.55
71.78	583.01	0.95	3.51
71.85	583.95	0.90	3.41
71.93	585.02	0.65	3.62
71.98	585.69	0.97	3.72
