mcd	c13(o/oo PDB)	o18(o/oo PDB)	species
57.3	1.00	2.86	C. wuellerstorfi
57.6	0.86	2.60	C. wuellerstorfi
57.7	0.38	2.82	C. wuellerstorfi
57.8	0.75	2.76	C. wuellerstorfi
57.9	0.35	2.80	C. wuellerstorfi
58	0.26	2.74	C. wuellerstorfi
58.1	0.26	3.02	C. wuellerstorfi
58.2	0.22	3.02	C. wuellerstorfi
58.3	-0.23	3.54	C. wuellerstorfi
58.5	0.06	3.27	C. wuellerstorfi
58.6	-0.19	2.57	C. wuellerstorfi
58.7	0.27	3.10	C. wuellerstorfi
58.704	0.54	2.79	C. wuellerstorfi
58.804	0.44	2.51	C. wuellerstorfi
59.1	0.04	2.78	C. wuellerstorfi
59.3	0.35	2.80	C. wuellerstorfi
59.5	0.11	3.26	C. wuellerstorfi
59.6	0.15	3.16	C. wuellerstorfi
59.7	0.52	3.20	C. wuellerstorfi
