ODP 1143  (Leg 184)			 	Scientific Results. Volume 184						
 LATITUDE: 9.3619 				X. Cheng. J. Tian. and P. Wang. Ms 184-221						
LONGITUDE: 113.2851				Table T2. Oxygen and carbon isotope data for benthic foraminifers. Site 1143.						
ELEVATION: -2772.3 m 										
										
Notes: C.wuellerstorfi = Cibicidoides wuellerstorfi. U.peregrina = Uvigerina peregrina. d13C and d18O given in reference to Peedee belemnite standard. * = adjustment factor as per Shackleton et al. (1995).										
										
Core.section. interval(cm)	Depth(mbsf)	Depth(mcd)	Age(ka)	Species	d13C(raw)	d13C_adjustment.factor	d18O(raw)	d18O_adjustment.factor	d13C(final)	d18O(final)
5H-5. 130-132	41.2	45.44	863.65	C.wuellerstorfi	-0.405	0	3.241	0.64	-0.405	3.881
5H-5. 140-142	41.3	45.54	864.56	C.wuellerstorfi	-0.703	0	2.946	0.64	-0.703	3.586
5H-6. 0-2	41.4	45.64	865.46	C.wuellerstorfi	-0.594	0	3.413	0.64	-0.594	4.053
5H-6. 40-42	41.8	46.04	869.08	C.wuellerstorfi	-0.701	0	3.972	0.64	-0.701	4.612
5H-6. 50-52	41.9	46.14	869.98	C.wuellerstorfi	-0.543	0	3.674	0.64	-0.543	4.314
5H-6. 60-62	42	46.24	870.88	C.wuellerstorfi	-0.662	0	4.087	0.64	-0.662	4.727
5H-6. 70-72	42.1	46.34	871.79	C.wuellerstorfi	-0.695	0	3.918	0.64	-0.695	4.558
5H-6. 80-82	42.2	46.44	872.69	C.wuellerstorfi	-0.818	0	3.863	0.64	-0.818	4.503
5H-6. 90-92	42.3	46.54	873.6	C.wuellerstorfi	-0.731	0	3.89	0.64	-0.731	4.53
5H-6. 100-102	42.4	46.64	874.5	C.wuellerstorfi	-0.72	0	3.695	0.64	-0.72	4.335
5H-6. 110-112	42.5	46.74	876.19	U.peregrina	-1.105	0.9	4.358	0	-0.205	4.358
7H-1. 60-62	53.5	59.06	1184.33	C.wuellerstorfi	-0.111	0	3.032	0.64	-0.111	3.672
7H-1. 90-92	53.8	59.36	1191.27	C.wuellerstorfi	-0.545	0	3.543	0.64	-0.545	4.183
7H-1. 100-102	53.9	59.46	1197	C.wuellerstorfi	-0.385	0	3.687	0.64	-0.385	4.327
7H-1. 110-112	54	59.56	1201	U.peregrina	-1.035	0.9	4.312	0	-0.135	4.312
7H-1. 120-122	54.1	59.66	1205	C.wuellerstorfi	-0.395	0	3.692	0.64	-0.395	4.332
7H-1. 140-142	54.3	59.86	1213	C.wuellerstorfi	-0.363	0	3.744	0.64	-0.363	4.384
7H-2. 0-2	54.4	59.96	1213.69	C.wuellerstorfi	-0.416	0	3.658	0.64	-0.416	4.298
7H-2. 10-12	54.5	60.06	1214.37	C.wuellerstorfi	-0.374	0	3.547	0.64	-0.374	4.187
7H-2. 20-22	54.6	60.16	1215.06	C.wuellerstorfi	-0.561	0	3.476	0.64	-0.561	4.116
7H-2. 30-32	54.7	60.26	1215.74	C.wuellerstorfi	-0.614	0	3.253	0.64	-0.614	3.893
7H-2. 40-42	54.8	60.36	1216.43	U.peregrina	-1.021	0.9	3.846	0	-0.121	3.846
7H-2. 60-62	55	60.56	1217.8	C.wuellerstorfi	-0.069	0	2.969	0.64	-0.069	3.609
7H-2. 70-72	55.1	60.66	1219.72	C.wuellerstorfi	-0.32	0	2.746	0.64	-0.32	3.386
7H-2. 90-92	55.3	60.86	1225.13	C.wuellerstorfi	0.026	0	2.861	0.64	0.026	3.501
7H-2. 100-102	55.4	60.96	1230.2	C.wuellerstorfi	-0.11	0	2.838	0.64	-0.11	3.478
7H-2. 110-112	55.5	61.06	1232.31	C.wuellerstorfi	-0.096	0	2.653	0.64	-0.096	3.293
7H-2. 120-122	55.6	61.16	1234.42	C.wuellerstorfi	-0.22	0	2.747	0.64	-0.22	3.387
7H-2. 130-132	55.7	61.26	1236.53	C.wuellerstorfi	-0.203	0	2.606	0.64	-0.203	3.246
7H-3. 10-12	56	61.56	1243.94	C.wuellerstorfi	-0.241	0	3.411	0.64	-0.241	4.051
7H-3. 20-22	56.1	61.66	1248.21	C.wuellerstorfi	-0.524	0	3.678	0.64	-0.524	4.318
