# NOAA Paleoclimatology Program - Paleocean Site Data
# v19-30_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             SPECMAP Contributors
# Core/Site:      V19-30
# Latitude:       3.00.00S	( -3)
# Longitude:      83.00.00W	( -83)
# Water Depth(m): 3091
#
# Publications:
#   Imbrie, J., E.A. Boyle, S.C. Clemens, A. Duffy, W.R. Howard, G. Kukla, J. Kutzbach,
#     D.G. Martinson, A. McIntyre, A.C. Mix, B. Molfino, J.J. Morley, L.C. Peterson,
#     N.G. Pisias, W.L. Prell, M.E. Raymo, N.J. Shackleton, and J.R. Toggweiler. 1992.
#     On the structure and origin of major glaciation cycles. 1. Linear responses to
#     Milankovitch forcing. Paleoceanography 7:701-738.
#   Shackleton, N.J. 1987. Oxygen isotopes, ice volume and sea level. Quaternary
#     Science Reviews 6:183-190.
#   Shackleton, N.J., and N.G. Pisias. 1985. Atmospheric carbon dioxide, orbital
#     forcing, and climate. Pages 303-317 in E.T. Sundquist and W.S. Broecker, editors,
#     The Carbon Cycle and Atmospheric CO2: Natural Variations Archean to Present.
#     American Geophysical Union, Washington, D.C., USA.
#------------------
#
# Description & Notes:
#   Late Quaternary variations in ocean hydrography (SPECMAP)
#   
#
# V19-30 C14 Dates
# 
#   yrBP      radiocarbon years B.P. (Libby half-life; B.P. = 1950)
# 
#  Depth      yrBP          Error+        Error-        Notes
#  32.75       6090          180           180          GX8272
#  66.75       9935          270           270          GX8273
# 
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cforams-b  delta C13 PDB (Benthic Foraminifers)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#
# CORE: V19-30
depth         yrBP          d13Cforams-b  d18Oforams-b  
 1074          174160       -0.59          4.73         
 1077          175000       -0.64          4.62         
 1081          176000       -0.58          4.38         
 1084          176800       -0.55          4.51         
 1087          177600       -0.58          4.46         
 1091          178600       -0.48          4.6          
 1094          179400       -0.6           4.6          
 1097          180200       -0.54          4.64         
 1099          180800       -0.54          4.68         
 1104          182100       -0.49          4.71         
 1107          182900       -0.53          4.58         
 1111          183900       -0.47          4.72         
 1114          184700       -0.58          4.6          
 1117          185500       -0.35          4.67         
 1121          186600       -0.27          4.67         
 1124          187400       -0.33          4.49         
 1127          188200       -0.32          4.55         
 1131          189200       -0.16          4.33         
 1134          190000       -0.22          4.4          
 1137          190600       -0.13          4.12         
 1141          191500       -0.23          4.14         
 1144          192100       -0.23          4.04         
 1147          192700       -0.13          4.12         
 1151          193500       -0.15          3.96         
 1154          194100       -0.02          3.98         
 1157          194800       -0.02          4.22         
 1161          195600       -0.09          3.8          
 1164          196200        0.22          3.93         
 1167          196800        0             3.7          
 1171          197700       -0.05          3.67         
 1174          198300        0.02          3.77         
 1177          200700        0.18          4.27         
 1181          205000        0.19          4.17         
 1184          206000        0.07          3.95         
 1187          207100        0.02          4.01         
 1191          208400       -0.05          3.89         
 1194          209500        0.13          3.91         
 1197          210500       -0.12          3.75         
 1202          212200        0.04          3.85         
 1204          212900       -0.03          3.73         
 1207          213900       -0.01          3.71         
 1209          214600       -0.14          3.4          
 1211          215300       -0.14          3.79         
 1214          216300       -0.09          3.72         
 1217          217300       -0.22          3.77         
 1221          218700       -0.17          3.89         
 1224          219700       -0.24          3.98         
 1227          220800        0.05          4.02         
 1231          222100       -0.26          3.94         
 1234          223200       -0.34          4.26         
 1237          224200       -0.5           4.58         
 1241          225600       -0.46          4.58         
 1244          226600       -0.46          4.71         
 1247          227100       -0.39          4.68         
 1251          227800       -0.4           4.62         
 1254          228300       -0.47          4.52         
 1257          228800       -0.36          4.51         
