age(ma)	PF-13C	PF-18O	age(Ma)	BF-13C	BF-18O
3.378 	0.387 	-2.914 	2.924 	0.135 	2.440 
3.388 	0.660 	-2.062 	2.928 	-0.085 	2.571 
3.397 	1.324 	-2.538 	2.931 	-0.329 	2.742 
3.436 	1.563 	-1.394 	2.935 	-0.355 	3.231 
3.453 	0.966 	-3.149 	2.939 	0.103 	2.614 
3.502 	1.087 	-2.630 	2.944 	-0.156 	2.496 
3.568 	1.206 	-2.787 	2.948 	-0.110 	2.471 
3.585 	0.994 	-2.673 	2.977 	-0.249 	2.925 
3.634 	1.743 	-2.647 	2.982 	0.275 	2.904 
3.674 	0.725 	-2.740 	2.987 	-0.290 	2.772 
3.704 	0.845 	-2.682 	3.014 	-0.846 	3.176 
3.734 	0.400 	-1.877 	3.024 	-0.279 	2.642 
3.744 	0.861 	-2.644 	3.036 	-0.258 	2.516 
3.754 	0.546 	-1.951 	3.058 	-0.946 	2.825 
3.844 	1.159 	-3.145 	3.069 	-0.187 	2.472 
3.861 	1.195 	-2.438 	3.075 	-0.027 	2.291 
3.894 	0.933 	-1.913 	3.081 	0.001 	2.347 
3.911 	0.328 	-1.710 	3.086 	-0.692 	2.605 
3.927 	0.487 	-1.645 	3.091 	-0.506 	2.438 
3.994 	1.110 	-2.803 	3.098 	-0.273 	2.586 
4.008 	0.795 	-2.443 	3.112 	-0.345 	2.406 
4.049 	1.103 	-2.726 	3.120 	-0.636 	2.390 
4.063 	1.346 	-2.246 	3.130 	-0.173 	2.675 
4.077 	1.147 	-2.775 	3.141 	-0.802 	2.999 
4.118 	0.918 	-1.984 	3.145 	-0.306 	2.748 
4.132 	1.357 	-2.627 	3.154 	-0.972 	2.330 
4.146 	1.692 	-2.743 	3.158 	0.042 	2.293 
4.159 	0.731 	-2.813 	3.158 	0.077 	2.338 
4.173 	0.517 	-3.157 	3.162 	0.354 	2.187 
4.187 	0.498 	-2.469 	3.165 	-0.031 	2.438 
4.201 	1.025 	-2.105 	3.168 	0.257 	2.530 
4.227 	1.187 	-3.316 	3.180 	0.268 	2.463 
4.256 	1.111 	-2.569 	3.193 	0.137 	2.444 
4.317 	1.312 	-2.898 	3.205 	-0.211 	2.317 
4.330 	1.365 	-2.403 	3.218 	0.221 	2.450 
4.463 	0.589 	-2.159 	3.229 	-0.240 	2.334 
4.477 	1.088 	-2.912 	3.243 	-0.014 	2.371 
4.490 	1.098 	-3.072 	3.255 	0.114 	2.429 
4.518 	1.084 	-2.737 	3.266 	0.055 	2.598 
4.557 	0.474 	-3.053 	3.280 	-0.201 	2.727 
4.573 	1.190 	-2.693 	3.293 	-0.323 	2.991 
4.614 	0.849 	-1.917 	3.305 	-0.365 	3.047 
4.628 	0.843 	-2.178 	3.313 	-0.509 	2.277 
4.656 	0.995 	-3.298 	3.330 	-0.402 	2.561 
4.670 	1.088 	-3.020 	3.339 	-0.199 	2.704 
4.683 	0.638 	-2.512 	3.349 	-0.547 	2.657 
4.711 	0.606 	-3.003 	3.358 	-0.191 	2.385 
4.738 	1.187 	-2.156 	3.367 	-0.446 	2.615 
4.766 	1.371 	-2.808 	3.378 	-0.550 	2.611 
4.789 	0.928 	-2.805 	3.388 	-0.199 	2.445 
4.794 	0.738 	-2.317 	3.397 	-0.312 	2.319 
4.807 	0.836 	-2.969 	3.417 	-0.278 	2.332 
4.821 	0.791 	-2.157 	3.426 	-0.454 	2.414 
4.833 	0.415 	-2.669 	3.436 	0.328 	2.730 
4.863 	0.936 	-2.071 	3.453 	-0.143 	2.239 
4.885 	0.896 	-2.618 	3.469 	-0.124 	2.314 
4.902 	0.278 	-2.730 	3.502 	0.020 	2.349 
4.919 	1.929 	-3.160 	3.519 	-0.067 	2.199 
4.979 	0.748 	-2.894 	3.552 	-0.217 	2.389 
5.004 	1.739 	-2.950 	3.568 	-0.091 	2.199 
5.013 	1.127 	-3.210 	3.585 	-0.287 	2.458 
5.038 	0.485 	-2.838 	3.601 	0.182 	2.320 
5.056 	1.137 	-3.046 	3.618 	-0.213 	2.072 
5.064 	0.628 	-2.766 	3.634 	-0.652 	2.593 
5.073 	0.449 	-2.802 	3.644 	0.029 	2.218 
5.098 	1.234 	-2.732 	3.654 	-0.339 	2.465 
5.106 	0.538 	-2.723 	3.674 	-0.499 	2.261 
5.115 	0.937 	-2.502 	3.683 	0.070 	2.149 
5.133 	0.943 	-2.887 	3.694 	-0.412 	2.388 
5.210 	1.034 	-2.893 	3.714 	0.232 	2.335 
5.225 	1.415 	-2.332 	3.734 	-0.093 	2.149 
5.235 	1.045 	-2.143 	3.744 	-0.266 	2.299 
5.261 	0.994 	-2.322 	3.754 	-0.297 	2.316 
5.278 	1.089 	-2.083 	3.774 	-0.152 	2.251 
5.286 	0.882 	-3.132 	3.783 	-0.040 	2.176 
5.304 	0.423 	-1.625 	3.794 	-0.158 	2.413 
5.311 	0.392 	-2.257 	3.811 	0.059 	2.284 
5.321 	1.063 	-2.467 	3.827 	-0.050 	2.186 
