/* DATA DESCRIPTION:
Citation:	Chen, J et al. (1995): (Table 1) Stable oxygen and carbon isotope ratios of Cibicides wuellerstorfi from ODP Site 121-758 in the northeast Indian Ocean, doi:10.1594/PANGAEA.52683,
	In Supplement to: Chen, Jiajie; Farrell, John W; Murray, David; Prell, Warren L (1995): Timescale and paleoceanographic implications of a 3.6 m.y. oxygen isotope record from the northeast Indian Ocean (Ocean Drilling Program Site 758), Paleoceanography, 10(1), 21-48, doi:10.1029/94PA02290
Project(s):	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
Coverage:	WEST: 90.3612 * EAST: 90.3612 * SOUTH: 5.3841 * NORTH: 5.3841
	MINIMUM DEPTH, sediment: 0.0 m * MAXIMUM DEPTH, sediment: 53.3 m
Event(s):	121-758 * LATITUDE: 5.3841 * LONGITUDE: 90.3612 * ELEVATION: -2935.0 m * DATE/TIME: 1988-06-15T00:00:00 * DATE/TIME 2: 1988-06-15T00:00:00 * RECOVERY: 561.90 m * PENETRATION: 782.20 m * LOCATION: North Indian * CAMPAIGN: Leg121 (URI: doi:10.2973/odp.proc.ir.121.1989) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Composite Core * COMMENT: 84 cores; 782.2 m cored; 0 m drilled; 71.8% recovery
Comment:	Depth is composite depth (mcd)
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Sample code/label (Label) * PI: Chen, JH * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	Cibicides wuellerstorfi, d13C [per mil PDB] (C. wuellerstorfi d13C) * PI: Chen, JH * METHOD: Mass spectrometer VG SIRA 24 * COMMENT: size fraction >150 µm
	Cibicides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Chen, JH * METHOD: Mass spectrometer VG SIRA 24 * COMMENT: size fraction >150 µm
Size:	2418 data points
*/
Depth [m]	Label	C. wuellerstorfi d13C [per mil PDB]	C. wuellerstorfi d18O [per mil PDB]
14.33	121-758A-2-5,91	-0.54	3.62
14.33	121-758A-2-5,91	-0.56	3.86
14.43	121-758A-2-5,101	-0.28	3.91
14.43	121-758A-2-5,101	-0.37	3.48
14.53	121-758A-2-5,111	-0.03	2.96
14.53	121-758A-2-5,111	-0.07	3.03
14.63	121-758A-2-5,121	-0.08	3.36
14.63	121-758A-2-5,121	0.02	3.06
14.73	121-758A-2-5,131	-0.32	3.73
14.73	121-758A-2-5,131	-0.18	3.35
14.93	121-758A-2-6,1	-0.24	3.81
14.93	121-758A-2-6,1	-0.14	4.01
15.03	121-758A-2-6,11	-0.12	3.56
15.03	121-758A-2-6,11	-0.11	3.53
15.13	121-758A-2-6,21	-0.11	3.45
15.13	121-758A-2-6,21	0.01	3.41
15.23	121-758A-2-6,31	0.02	3.56
15.23	121-758A-2-6,31	-0.13	3.68
15.33	121-758A-2-6,41	-0.22	3.56
15.33	121-758A-2-6,41	-0.15	3.51
15.43	121-758A-2-6,51	-0.10	3.49
15.43	121-758A-2-6,51	-0.08	3.67
15.53	121-758A-2-6,61	0.03	3.51
15.53	121-758A-2-6,61	0.05	3.30
15.63	121-758A-2-6,71	-0.05	3.68
15.63	121-758A-2-6,71	0.02	3.55
15.73	121-758A-2-6,81	0.10	3.37
15.73	121-758A-2-6,81	0.23	3.58
15.83	121-758A-2-6,91	0.18	3.45
15.83	121-758A-2-6,91	0.11	3.31
15.93	121-758A-2-6,101	0.07	3.75
16.03	121-758A-2-6,111	-0.03	3.46
16.13	121-758A-2-6,121	-0.19	3.51
16.23	121-758A-2-6,131	-0.18	3.72
16.33	121-758A-2-6,141	-0.29	3.66
16.43	121-758A-2-7,1	-0.28	3.78
16.43	121-758A-2-7,1	-0.24	3.68
16.53	121-758A-2-7,11	-0.21	3.63
16.53	121-758A-2-7,11	-0.39	3.49
16.63	121-758A-2-7,21	0.03	3.03
16.73	121-758A-2-7,31	0.12	2.75
16.73	121-758A-2-7,31	0.29	2.82
16.83	121-758A-2-7,41	0.05	3.42
16.93	121-758A-2-7,51	0.09	3.47
17.03	121-758A-2-7,61	-0.08	3.73
17.13	121-758A-2-7,71	-0.04	3.58
17.20	121-758A-2CC,0	0.02	3.54
17.21	121-758B-2-5,21	0.06	3.31
17.31	121-758B-2-5,31	-0.15	3.64
17.41	121-758B-2-5,41	-0.22	3.44
17.51	121-758B-2-5,51	-0.13	3.47
17.61	121-758B-2-5,61	0.12	3.29
17.61	121-758B-2-5,61	0.00	3.10
17.71	121-758B-2-5,71	0.18	3.12
17.71	121-758B-2-5,71	0.56	3.49
17.72	121-758A-3-1,21	0.24	3.21
17.82	121-758A-3-1,31	-0.12	3.06
17.92	121-758A-3-1,41	0.28	3.10
18.02	121-758A-3-1,51	0.20	3.30
18.12	121-758A-3-1,61	0.19	3.12
18.22	121-758A-3-1,71	-0.28	4.10
18.22	121-758A-3-1,71	-0.52	3.71
18.32	121-758A-3-1,81	-0.15	4.18
18.42	121-758A-3-1,91	-0.19	4.02
18.52	121-758A-3-1,101	-0.21	3.70
18.52	121-758A-3-1,101	-0.03	3.72
18.62	121-758A-3-1,111	0.03	3.50
18.72	121-758A-3-1,121	0.05	3.47
18.72	121-758A-3-1,121	0.14	2.98
18.82	121-758A-3-1,131	-0.10	3.24
