   
   
   
   
   
   
   
   
   
   
   
   
   
   
Soc. of Edinburgh: Earth
   
   
   
each sample indicated by
   
   
   
   
depth kyrBP d18Oforams-b notes
8040 1996 3.89 UVIGORID
8050 1998 4.23 UVIG
8080 2002 3.77 UVIG
8120 2009 3.7 UVIG
8130 2010 3.65 UVIG
8139 2012 3.63 UVIG
8150 2013 3.53 UVIG
8160 2015 3.49 UVIG
8170 2016 3.42 UVIG
8190 2020 3.54 UVIG
8240 2025 3.8 UVIGORBU
8250 2026 3.88 UVIGBUL
8420 2045 4.25 UVIGBUL
8459 2049 4.11 UVIGBUL
8469 2050 4.04 UVIGBUL
8479 2051 3.97 UVIG
8490 2052 3.76 UVIGGLOB
8510 2054 4 UVIG
8560 2060 3.92 UVIG
8660 2071 3.9 UVIG
8670 2072 4.07 UVIG
8690 2074 4.18 UVIG
8700 2075 4.39 UVIG
8710 2076 4.23 UVIG
8718 2077 4.45 UVIG
8730 2078 4.49 UVIG
8740 2079 4.78 UVIG
8750 2081 4.44 UVIG
8760 2082 4.49 UVIG
8770 2083 4.41 UVIG
8780 2085 4.4 UVIG
8789 2086 4.24 UVIG
8800 2087 4.34 UVIG
8810 2089 4.25 UVIG
8820 2090 4.2 UVIG
8829 2091 4.18 UVIGORID
8840 2093 4.45 UVIGORID
8850 2094 4.23 UVIG
8860 2096 4.32 UVIG
8868 2097 4.1 UVIG
8880 2099 3.97 UVIG
8889 2100 3.95 UVIG
8900 2101 3.95 UVIGPYRG
8910 2103 3.8 UVIG
8920 2104 3.89 UVIG
8930 2105 3.76 UVIG
8939 2107 3.77 UVIG
8950 2108 3.83 UVIG
8960 2110 3.71 UVIG
8970 2111 3.8 UVIG
8979 2112 3.69 UVIGORID
8990 2114 3.93 UVIG
9030 2122 4.38 UVIG
9060 2129 4.24 UVIGORID
9070 2131 3.7 UVIG
9080 2133 3.59 UVIG
9120 2139 3.65 UVIGORID
9129 2141 4.37 UVIG
9139 2142 4.44 UVIG
9150 2144 4.54 UVIG
9160 2146 4.44 UVIG
9168 2147 4.47 UVIG
9180 2150 4.3 UVIG
9190 2153 4.36 UVIG
9200 2156 4.26 UVIG
9210 2160 4.24 UVIGORID
9220 2163 4.09 UVIG
9230 2166 4 UVIG
9239 2168 3.94 UVIG
9250 2172 3.82 UVIG
9260 2175 3.68 UVIG
9270 2178 3.76 UVIG
9279 2181 3.6 UVIGLOB
9310 2189 3.86 UVIGORID
9318 2191 3.92 UVIG
9330 2193 4.16 UVIG
9340 2195 4.13 UVIG
9350 2197 4.07 UVIG
9360 2199 3.99 UVIGORID
9450 2217 3.95 UVIG
9460 2219 3.74 UVIG
9467 2221 3.74 UVIG
9530 2234 3.97 UVIG
9530 2234 4.13 UVIGORID
9540 2237 3.94 UVIG
9550 2240 3.9 UVIG
9550 2240 4.24 UVIG
9560 2243 4.24 UVIG
9560 2243 3.85 UVIG
9569 2246 4.1 UVIG
9570 2246 3.64 UVIG
9580 2249 3.64 UVIG
9580 2249 4.27 UVIG
9590 2252 4.07 UVIG
9600 2255 3.92 UVIG
9610 2258 2.78 UVIG
9640 2266 3.49 UVIG
9640 2266 3.57 UVIGORID
9690 2281 3.8 UVIG
9710 2287 3.9 UVIG
9720 2290 3.81 UVIG
9730 2293 3.96 UVIG
9740 2296 4.03 UVIG
9760 2301 3.72 UVIGORID
9780 2309 3.79 UVIGORGL
9791 2313 3.83 UVIG
9818 2325 3.44 UVIGORGL
9890 2352 3.8 UVIGORIG
9930 2362 3.98 UVIGORID
9968 2372 3.99 UVIGLOBO
10230 2440 4.38 UVIG
10241 2441 4.49 UVIG
10250 2443 4.47 UVIG
10261 2444 4.39 UVIG
10268 2445 4.53 UVIG
10300 2450 4.39 UVIG
10340 2456 4.17 UVIGLOB
10391 2463 3.66 UVIGORBU
10520 2483 4.45 UVIG
10530 2484 4.56 UVIG
10760 2524 4.22 UVIG
10770 2525 4.49 UVIG
10780 2526 4.44 UVIG
