Paleocean Site Data 
   
   
   
   
'-999'   
   
   
   
   
   
   
   
   
Trans. Of the Royal
   
   
lower Pleistocene.  
and B. Source of
   
   
   
CORE: ODP-677  
depth kyrBP d18Oforams-p notes
3615 920 -0.77 GRUBER
3620 921 -1.03 GRUBER
3625 922 -1 GRUBER
3625 922 -0.84 GRUBER
3630 923 -1.16 GRUBER
3635 925 -1.11 GRUBER
3635 925 -1.14 GRUBER
3643 927 -1.43 GRUBER
3650 928 -1.26 GRUBER
3650 928 -1.25 GRUBER
3655 930 -1.48 GRUBER
3655 930 -1.35 GRUBER
3660 931 -1.43 GRUBER
3665 932 -1.24 GRUBER
3665 932 -1.21 GRUBER
3670 933 -1.34 GRUBER
3675 935 -1.44 GRUBER
3675 935 -1.16 GRUBER
3680 936 -1.36 GRUBER
3685 937 -1.4 GRUBER
3685 937 -1.25 GRUBER
3692 939 -1.72 GRUBER
3700 941 -1.35 GRUBER
3705 942 -1.46 GRUBER
3710 943 -1.55 GRUBER
3715 945 -1.65 GRUBER
3723 947 -1.76 GRUBER
3725 947 -1.82 GRUBER
3730 948 -1.89 GRUBER
3736 950 -2.28 GRUBER
3741 951 -1.73 GRUBER
3745 952 -1.82 GRUBER
3750 953 -2.24 GRUBER
3755 955 -1.75 GRUBER
3760 956 -1.61 GRUBER
3765 957 -1.22 GRUBER
3765 957 -1.61 GRUBER
3775 960 -1.11 GRUBER
3775 960 -0.97 GRUBER
3785 962 -0.63 GRUBER
3785 962 -0.83 GRUBER
3795 965 -1.17 GRUBER
3795 965 -0.87 GRUBER
3802 967 -0.85 GRUBER
3805 967 -1.38 GRUBER
3815 970 -1.38 GRUBER
3815 970 -1.7 GRUBER
3825 972 -1.51 GRUBER
3825 972 -1.71 GRUBER
3833 974 -1.68 GRUBER
3835 975 -1.37 GRUBER
3843 977 -1.82 GRUBER
3845 978 -1.8 GRUBER
3855 981 -1.25 GRUBER
3855 981 -1.47 GRUBER
3865 983 -1.62 GRUBER
3865 983 -1.19 GRUBER
3875 986 -1.43 GRUBER
3875 986 -1.16 GRUBER
3885 989 -1.36 GRUBER
3886 989 -1.31 GRUBER
3895 992 -1.34 GRUBER
3895 992 -1.61 GRUBER
3905 995 -1.56 GRUBER
3905 995 -1.47 GRUBER
3915 997 -1.55 GRUBER
3925 1000 -1.44 GRUBER
3935 1002 -1.2 GRUBER
3946 1004 -1.12 GRUBER
3957 1008 -1.14 GRUBER
3965 1011 -1.35 GRUBER
3975 1015 -1.55 GRUBER
3983 1017 -1.26 GRUBER
3992 1021 -1.4 GRUBER
4005 1026 -1.71 GRUBER
4015 1028 -1.69 GRUBER
4025 1029 -1.56 GRUBER
4035 1030 -1.28 GRUBER
4045 1031 -1.16 GRUBER
4055 1033 -1.25 GRUBER
4063 1034 -1.11 GRUBER
4075 1037 -1.35 GRUBER
4085 1040 -1.5 GRUBER
4095 1042 -1.29 GRUBER
4101 1044 -1.5 GRUBER
4115 1047 -1.37 GRUBER
4125 1050 -1.36 GRUBER
4133 1052 -1.38 GRUBER
4142 1054 -1.46 GRUBER
4155 1058 -1.2 GRUBER
4165 1060 -1.47 GRUBER
4175 1063 -1.83 GRUBER
4185 1065 -1.87 GRUBER
4195 1068 -2.07 GRUBER
4205 1070 -1.87 GRUBER
4215 1073 -1.65 GRUBER
4225 1075 -1.31 GRUBER
4235 1077 -1.32 GRUBER
4245 1079 -1.4 GRUBER
4252 1081 -1.14 GRUBER
4265 1084 -1.1 GRUBER
4275 1086 -1.28 GRUBER
4283 1088 -1.42 GRUBER
4292 1090 -1.49 GRUBER
4305 1094 -1.22 GRUBER
4315 1098 -0.98 GRUBER
4325 1101 -0.97 GRUBER
4335 1104 -1.08 GRUBER
4345 1108 -1.41 GRUBER
4355 1111 -1.81 GRUBER
4365 1113 -1.57 GRUBER
4375 1115 -1.26 GRUBER
4385 1116 -1.05 GRUBER
4395 1118 -1.27 GRUBER
4401 1119 -0.99 GRUBER
4415 1122 -1.05 GRUBER
4420 1123 -1.14 GRUBER
4425 1124 -0.64 GRUBER
4430 1124 -0.97 GRUBER
4433 1125 -0.59 GRUBER
4438 1126 -0.96 GRUBER
4442 1127 -0.92 GRUBER
4453 1129 -0.98 GRUBER
4455 1129 -0.97 GRUBER
4460 1130 -1.19 GRUBER
4465 1131 -1.15 GRUBER
4470 1132 -1.18 GRUBER
4480 1134 -1.1 GRUBER
4485 1135 -1.3 GRUBER
4491 1136 -1.43 GRUBER
4495 1136 -1.21 GRUBER
4502 1138 -1.34 GRUBER
4505 1138 -1.48 GRUBER
4510 1139 -1.17 GRUBER
4515 1140 -1.19 GRUBER
4523 1142 -1.4 GRUBER
4530 1143 -1.37 GRUBER
4541 1145 -1.71 GRUBER
4551 1147 -1.55 GRUBER
4560 1148 -1.48 GRUBER
4570 1150 -1.64 GRUBER
4580 1152 -1.56 GRUBER
4591 1154 -1.64 GRUBER
4600 1155 -1.67 GRUBER
4610 1157 -1.91 GRUBER
4620 1159 -1.83 GRUBER
4630 1160 -1.99 GRUBER
4635 1161 -1.93 GRUBER
4641 1162 -1.87 GRUBER
4645 1163 -2.16 GRUBER
4651 1164 -1.8 GRUBER
4655 1165 -1.84 GRUBER
4660 1165 -1.66 GRUBER
4665 1166 -1.82 GRUBER
4673 1167 -1.83 GRUBER
4675 1168 -1.45 GRUBER
4680 1168 -1.43 GRUBER
4687 1170 -1.35 GRUBER
4691 1170 -1.38 GRUBER
4695 1171 -1.39 GRUBER
4700 1172 -1.51 GRUBER
4703 1172 -1.24 GRUBER
4710 1175 -1.44 GRUBER
4715 1177 -1.68 GRUBER
4715 1177 -1.57 GRUBER
4725 1181 -1.85 GRUBER
4725 1181 -1.64 GRUBER
4735 1186 -1.74 GRUBER
4735 1186 -1.49 GRUBER
4745 1190 -1.72 GRUBER
4745 1190 -1.57 GRUBER
4755 1194 -1.78 GRUBER
4756 1195 -1.34 GRUBER
4765 1199 -1.11 GRUBER
4765 1199 -1.24 GRUBER
4775 1203 -1.13 GRUBER
4775 1203 -0.94 GRUBER
4785 1207 -1.03 GRUBER
4785 1207 -0.87 GRUBER
4795 1210 -1.02 GRUBER
4795 1210 -1 GRUBER
4805 1212 -1.17 GRUBER
4805 1212 -0.93 GRUBER
4815 1214 -0.97 GRUBER
4815 1214 -1.29 GRUBER
4825 1216 -1.41 GRUBER
4825 1216 -1.08 GRUBER
4835 1217 -1.34 GRUBER
4835 1217 -1.18 GRUBER
4845 1219 -1.49 GRUBER
4845 1219 -1.4 GRUBER
4853 1221 -1.45 GRUBER
4855 1221 -1.41 GRUBER
4865 1223 -1.01 GRUBER
4875 1225 -1.33 GRUBER
4885 1226 -1.7 GRUBER
4895 1228 -1.51 GRUBER
4906 1230 -1.73 GRUBER
4915 1232 -1.88 GRUBER
4925 1234 -1.66 GRUBER
4935 1235 -1.79 GRUBER
4945 1237 -1.19 GRUBER
4945 1237 -1.27 GRUBER
4955 1239 -1.97 GRUBER
4966 1241 -1.87 GRUBER
4975 1242 -1.57 GRUBER
4985 1244 -1.49 GRUBER
4995 1246 -1.13 GRUBER
5005 1247 -0.62 GRUBER
5015 1249 -0.6 GRUBER
5065 1262 -1.19 GRUBER
5075 1264 -1.2 GRUBER
5085 1266 -1.33 GRUBER
5093 1268 -1.56 GRUBER
5104 1271 -1.1 GRUBER
5115 1274 -1.12 GRUBER
5124 1276 -1.47 GRUBER
5134 1279 -1.5 GRUBER
5144 1281 -1.61 GRUBER
5151 1283 -1.2 GRUBER
5165 1286 -1.06 GRUBER
5175 1288 -1.08 GRUBER
5185 1290 -0.88 GRUBER
5195 1293 -0.84 GRUBER
5206 1295 -1.01 GRUBER
5214 1297 -0.76 GRUBER
5225 1300 -0.91 GRUBER
5235 1302 -1.11 GRUBER
5235 1302 -0.8 GRUBER
5245 1304 -1.12 GRUBER
5245 1304 -0.95 GRUBER
5255 1307 -1.44 GRUBER
5255 1307 -1.23 GRUBER
5265 1309 -1.59 GRUBER
5265 1309 -1.35 GRUBER
5275 1311 -1.81 GRUBER
5275 1311 -1.34 GRUBER
5284 1314 -1.37 GRUBER
5285 1314 -1.77 GRUBER
5295 1316 -1.68 GRUBER
5295 1316 -1.34 GRUBER
5303 1319 -1.25 GRUBER
5306 1320 -1.62 GRUBER
5315 1322 -1.79 GRUBER
5315 1322 -1.2 GRUBER
5325 1325 -1.41 GRUBER
5325 1325 -1.23 GRUBER
5335 1328 -1.33 GRUBER
5335 1328 -1.03 GRUBER
5345 1331 -1.1 GRUBER
5345 1331 -1.05 GRUBER
5355 1334 -1.41 GRUBER
5365 1336 -1.49 GRUBER
5365 1336 -1.39 GRUBER
5375 1338 -1.35 GRUBER
5375 1338 -1.32 GRUBER
5385 1340 -1.35 GRUBER
5385 1340 -1.4 GRUBER
5395 1342 -0.83 GRUBER
5405 1344 -1.05 GRUBER
5415 1346 -0.98 GRUBER
5425 1348 -1.38 GRUBER
5435 1350 -1.55 GRUBER
5446 1352 -1.65 GRUBER
5452 1354 -1.64 GRUBER
5460 1355 -1.68 GRUBER
5465 1356 -1.76 GRUBER
5470 1357 -1.36 GRUBER
5475 1358 -1.63 GRUBER
5480 1359 -1.26 GRUBER
5485 1360 -1.78 GRUBER
5493 1362 -1.23 GRUBER
5495 1362 -1.48 GRUBER
5500 1363 -1.26 GRUBER
5510 1365 -1.41 GRUBER
5515 1366 -0.96 GRUBER
5525 1368 -0.98 GRUBER
5530 1369 -1.38 GRUBER
5533 1369 -0.99 GRUBER
5540 1371 -1.52 GRUBER
5545 1372 -1.29 GRUBER
5550 1373 -1.53 GRUBER
5555 1374 -1.15 GRUBER
5560 1375 -1.41 GRUBER
5564 1376 -1.14 GRUBER
5610 1385 -1.44 GRUBER
