depth (mcd)	LR04 age (ka)	benthic O18
156.80	1224.70	3.08
156.80	1224.70	3.23
156.80	1224.70	3.21
157.40	1232.59	2.76
158.30	1241.91	2.80
158.30	1241.91	2.32
158.30	1241.91	2.43
158.30	1241.91	2.63
158.30	1241.91	2.77
158.60	1244.93	3.68
159.80	1254.83	3.72
160.20	1258.06	3.00
160.20	1258.06	3.20
160.20	1258.06	3.28
160.40	1259.66	3.01
160.60	1261.27	3.45
160.60	1261.27	3.41
161.30	1268.16	3.02
161.30	1268.16	3.10
161.30	1268.16	3.29
161.30	1268.16	3.33
161.30	1268.16	3.40
161.30	1268.16	3.36
161.40	1269.24	3.28
161.40	1269.24	3.35
161.40	1269.24	3.33
161.40	1269.24	3.17
161.40	1269.24	3.25
161.50	1270.31	3.26
161.50	1270.31	3.19
161.50	1270.31	3.21
161.60	1271.46	2.95
161.60	1271.46	2.93
161.60	1271.46	3.18
161.60	1271.46	3.22
161.60	1271.46	3.09
161.70	1272.67	2.87
161.70	1272.67	3.18
161.70	1272.67	3.23
161.70	1272.67	3.05
161.76	1273.39	3.17
161.76	1273.39	3.12
161.76	1273.39	3.21
161.76	1273.39	3.39
161.80	1273.90	3.22
161.80	1273.90	3.07
161.80	1273.90	3.30
161.86	1274.71	3.00
161.86	1274.71	3.38
161.86	1274.71	3.37
161.86	1274.71	2.96
161.86	1274.71	2.93
162.00	1276.59	3.58
162.00	1276.59	3.34
162.00	1276.59	3.32
162.06	1277.39	3.66
162.06	1277.39	3.45
162.06	1277.39	3.64
162.06	1277.39	3.44
162.26	1280.44	2.70
162.26	1280.44	2.90
162.26	1280.44	2.88
162.76	1290.51	3.79
162.86	1292.53	3.43
162.86	1292.53	3.19
162.86	1292.53	3.24
162.86	1292.53	3.42
162.86	1292.53	3.43
163.26	1298.92	2.94
163.97	1308.46	3.24
163.97	1308.46	3.36
164.27	1312.49	3.14
164.47	1315.18	3.05
164.47	1315.18	3.08
164.47	1315.18	3.15
164.47	1315.18	3.15
164.47	1315.18	3.18
165.07	1323.24	3.48
165.07	1323.24	3.58
167.47	1345.60	3.08
167.47	1345.60	2.98
167.47	1345.60	3.28
167.57	1346.24	3.63
167.77	1347.66	3.19
167.87	1348.62	3.09
168.17	1351.86	2.89
168.17	1351.86	2.95
168.47	1355.90	2.81
168.47	1355.90	2.91
168.47	1355.90	3.10
168.77	1359.93	3.03
168.77	1359.93	3.03
169.37	1366.97	3.70
170.37	1374.01	3.85
171.96	1386.26	3.42
171.96	1386.26	3.36
172.26	1390.00	3.21
172.26	1390.00	3.23
172.56	1394.02	3.04
172.56	1394.02	3.13
172.86	1398.06	3.04
172.86	1398.06	3.18
172.86	1398.06	3.04
174.18	1413.37	3.81
174.78	1417.75	2.82
174.78	1417.75	3.19
174.78	1417.75	2.95
175.08	1419.44	3.56
175.08	1419.44	3.38
175.08	1419.44	3.49
175.68	1422.43	3.18
175.98	1423.88	3.10
176.58	1426.79	2.88
176.58	1426.79	2.80
176.58	1426.79	2.99
176.88	1428.24	2.92
177.18	1429.77	2.76
177.18	1429.77	3.02
177.18	1429.77	2.74
177.48	1431.45	2.95
177.48	1431.45	2.98
177.48	1431.45	2.72
177.78	1433.27	2.99
178.08	1435.75	2.63
178.08	1435.75	2.89
178.08	1435.75	2.67
181.38	1462.10	3.49
181.38	1462.10	3.26
182.79	1479.01	2.89
182.79	1479.01	2.78
183.69	1493.08	3.32
184.29	1501.13	3.92
185.19	1516.79	3.28
185.19	1516.79	3.33
186.99	1535.21	4.01
187.29	1536.82	3.90
187.29	1536.82	4.03
187.29	1536.82	4.09
187.59	1538.43	4.18
190.27	1560.53	3.32
190.27	1560.53	3.13
190.57	1564.55	3.19
190.87	1568.59	3.18
190.87	1568.59	3.39
191.17	1572.35	3.79
191.47	1575.63	3.72
192.07	1580.08	3.51
193.70	1592.45	3.32
194.90	1604.47	3.22
194.90	1604.47	3.24
194.90	1604.47	3.19
195.20	1606.90	3.13
195.50	1608.87	3.24
195.80	1610.80	2.93
195.80	1610.80	3.06
195.80	1610.80	3.05
196.10	1612.74	3.47
196.40	1614.67	3.46
196.70	1616.61	3.46
197.30	1620.97	3.30
197.30	1620.97	3.27
197.30	1620.97	3.17
197.60	1623.38	3.15
197.94	1626.12	3.34
198.84	1634.25	3.08
198.84	1634.25	3.13
198.84	1634.25	2.89
200.64	1653.81	3.60
203.34	1684.59	2.91
203.56	1686.80	3.13
206.56	1713.94	3.49
206.56	1713.94	3.35
206.56	1713.94	3.44
206.86	1716.96	2.91
207.46	1721.44	2.99
207.46	1721.44	3.06
207.46	1721.44	2.92
213.78	1754.95	2.82
218.58	1778.17	3.01
218.58	1778.17	3.07
218.58	1778.17	3.18
218.88	1779.63	2.86
219.18	1781.07	3.14
219.18	1781.07	3.32
219.18	1781.07	3.13
220.08	1785.42	3.04
220.63	1788.09	3.20
220.63	1788.09	3.10
220.68	1788.33	3.63
220.68	1788.33	3.19
220.68	1788.33	2.98
222.13	1795.51	3.50
223.33	1802.74	3.13
224.53	1810.00	3.09
224.53	1810.00	2.98
224.53	1810.00	3.04
