# NOAA Paleoclimatology Program - Paleocean Site Data			
# odp846_isot-tab.txt			
# Isotope data only			
# File Created: 19-Jan-2005			
#			
#*********************************************************************************			
# Please cite the contributor and the original publications when using these data			
#*********************************************************************************			
#			
# Missing Values indicated by '-999'			
#			
# PI:             Alan C. Mix			
# Core/Site:      ODP846			
# Latitude:       3.05.42S	( -3.095)		
# Longitude:      90.49.06W	( -90.81834)		
# Water Depth(m): 3296			
#			
# Publications:			
#   Mix. A.C.. N.G. Pisias. W. Rugh. J. Wilson. A. Morey. and T. Hagelberg. 1995.			
#     Benthic foraminifera stable isotope record form Site 849. 0-5 Ma: Local and global			
#     climate changes. Pages 371~412 in N.G. Pisias. L. Mayer. T. Janecek. A. Palmer-Julson.			
#     T.H. vanAndel. editors. Proceedings of the Ocean Drilling Program. Scientific			
#     Results 138. College Station. Texas. USA.			
#   Mix. A.C.. J. Le. and N.J. Shackleton. 1995. Benthic foraminiferal stable isotope			
#     stratigraphy of Site 846: 0-1.8 Ma. Pages 839~854 in N.G. Pisias. L. Mayer. T.			
#     Janecek. A. Palmer-Julson. and T.H. vanAndel. editors. Proceedings of the Ocean			
#     Drilling Program. Scientific Results 138. College Station. Texas. USA.			
#------------------			
#			
# Description & Notes:			
#   Tropical Pacific benthic isotope record for 0-5 Ma.			
#   Depth used is Revised Meters Composite Depth			
#			
# Variables:			
#             depth         Depth (cm)			
"#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)"			
#             d13Cforams-b  delta C13 PDB (Benthic Foraminifers)			
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)			
#			
# CORE: ODP846			
depth	kyrBP	d18Oforams-b	d13Cforams-b
4924	1323.85	4.01	-0.29
4929	1325.02	4.14	-0.42
4936	1326.67	4.14	-0.52
4943	1328.33	4.15	-0.67
4949	1329.76	4.1	-0.64
4958	1331.92	4.16	-0.6
4968	1334.32	4.14	-0.58
4979	1336.96	4.09	-0.58
5005	1343.15	3.98	-0.44
5015	1345.49	3.89	-0.25
5026	1348.03	3.59	0.01
5036	1350.31	3.54	-0.06
5044	1352.11	3.48	0.02
5055	1354.57	3.41	-0.08
5065	1356.8	3.68	-0.35
5076	1359.25	3.745	-0.225
5090	1362.38	3.91	-0.24
5104	1365.59	4.05	-0.26
5114	1367.95	4.22	-0.5
5124	1370.4	4.21	-0.57
5140	1374.53	4.11	-0.45
5148	1376.73	4.18	-0.44
5155	1378.75	4.08	-0.35
5162	1380.83	4.1	-0.26
5171	1383.65	3.85	-0.25
5179	1386.32	3.91	-0.18
5188	1389.47	3.75	-0.08
5198	1393.17	3.55	-0.05
5207	1396.66	3.54	-0.05
5218	1401.06	3.68	-0.19
5228	1405.15	3.86	-0.32
5239	1409.65	4.01	-0.42
5251	1414.45	4.19	-0.45
5263	1419.06	4.27	-0.5
5275	1423.43	4.25	-0.44
5285	1426.88	4.08	-0.51
5295	1430.15	3.88	-0.32
5303	1432.63	3.86	-0.54
5311	1435.02	3.49	-0.09
5319	1437.3	3.51	-0.12
5328	1439.81	3.46	0.03
5337	1442.26	3.22	-0.105
5347	1444.93	3.35	-0.04
5357	1447.56	3.24	-0.3
5368	1450.41	3.28	-0.38
5379	1453.19	3.73	-0.5
5388	1455.43	4	-0.54
5398	1457.91	4.31	-0.65
5407	1460.16	4.34	-0.46
5416	1462.43	4.2	-0.53
5426	1464.99	4.03	-0.36
5437	1467.91	3.73	-0.24
5447	1470.7	3.74	-0.11
5458	1473.95	3.74	-0.03
5468	1477.12	3.54	0.11
5478	1480.54	3.47	0.215
5488	1484.26	3.36	0.06
5497	1487.88	3.39	-0.1
5507	1492.22	3.41	-0.12
5517	1496.87	3.94	-0.34
5528	1502.28	4.32	-0.435
5538	1507.35	4.19	-0.58
5549	1512.9	4.06	-0.17
5559	1517.76	3.73	0.03
5568	1521.87	3.57	-0.03
5578	1526.13	3.72	-0.09
5588	1530.03	3.92	-0.37
5607	1536.46	4.095	-0.65
5617	1539.45	4.4	-0.64
5627	1542.24	4.3	-0.5
5636	1544.6	4.3	-0.66
5647	1547.35	3.8	-0.15
5659	1550.23	3.83	-0.05
5671	1553.03	4.105	-0.225
5684	1556.08	3.87	-0.12
5698	1559.44	3.81	-0.02
5712	1562.94	3.72	0.12
5724	1566.16	3.79	0.01
5736	1569.62	3.885	-0.02
5743	1571.78	3.98	-0.125
5748	1573.39	4.17	-0.1
5758	1576.83	4.145	-0.335
5765	1579.44	4.1	-0.3
5768	1580.59	4.05	-0.16
5776	1583.86	3.83	-0.24
5778	1584.69	3.88	-0.19
5792	1591.05	3.81	-0.2
5797	1593.49	3.87	-0.3
5799	1594.47	3.78	-0.17
